title,year
Powder,1995
The City of Lost Children,1995
Twelve Monkeys,1995
Lawnmower Man 2: Beyond Cyberspace,1996
Screamers,1995
Shopping,1994
Unforgettable,1996
Congo,1995
Johnny Mnemonic,1995
Judge Dredd,1995
Mighty Morphin Power Rangers: The Movie,1995
Species,1995
Strange Days,1995
Gumby: The Movie,1995
A Kid in King Arthur's Court,1995
Star Wars,1977
Mary Shelley's Frankenstein,1994
Nemesis 2 - Nebula,1995
Outbreak,1995
Stargate,1994
Tank Girl,1995
Star Trek: Generations,1994
Village of the Damned,1995
Virtuosity,1995
Timecop,1994
The Secret Adventures of Tom Thumb,1993
Highlander: The Final Dimension,1994
Body Snatchers,1993
Coneheads,1993
Demolition Man,1993
Jurassic Park,1993
No Escape,1994
North,1994
The Puppet Masters,1994
RoboCop 3,1993
The Shadow,1994
Blade Runner,1982
The Pagemaster,1994
Terminator 2: Judgment Day,1991
Heavy Metal,1981
Hellraiser: Bloodline,1996
Theodore Rex,1995
Mystery Science Theater 3000: The Movie,1996
Barbarella,1968
They Bite,1996
Alphaville,1965
Solo,1996
The Visitors,1993
Multiplicity,1996
Barb Wire,1996
Ghost in the Shell,1995
The Arrival,1996
Jack,1996
Independence Day,1996
The Nutty Professor,1996
Phenomenon,1996
Kazaam,1996
Chain Reaction,1996
Escape from L.A.,1996
The Island of Dr. Moreau,1996
2001: A Space Odyssey,1968
Escape to Witch Mountain,1975
"20,000 Leagues Under the Sea",1954
The Lawnmower Man,1992
Sleeper,1973
E.T. the Extra-Terrestrial,1982
The Abyss,1989
Escape from New York,1981
Delicatessen,1991
The Empire Strikes Back,1980
Brazil,1985
Aliens,1986
A Clockwork Orange,1971
Return of the Jedi,1983
Alien,1979
A Grand Day Out,1990
Stalker,1979
The Terminator,1984
The Day the Earth Stood Still,1951
Bad Taste,1987
Back to the Future,1985
Akira,1988
Young Frankenstein,1974
Somewhere in Time,1980
Forbidden Planet,1956
Until the End of the World,1991
Alien³,1992
The Blob,1958
Blood Beach,1980
Bride of Frankenstein,1935
Star Trek: First Contact,1996
The Preacher's Wife,1996
Star Trek: The Motion Picture,1979
Star Trek VI: The Undiscovered Country,1991
Star Trek V: The Final Frontier,1989
Star Trek II: The Wrath of Khan,1982
Star Trek III: The Search for Spock,1984
Star Trek IV: The Voyage Home,1986
Adrenalin: Fear the Rush,1996
Mars Attacks!,1996
The Machine,1994
The Saint,1997
Turbo: A Power Rangers Movie,1997
Double Team,1997
Volcano,1997
Austin Powers: International Man of Mystery,1997
The Fifth Element,1997
Nowhere,1997
The Lost World: Jurassic Park,1997
Tetsuo II: Body Hammer,1992
Face/Off,1997
Men in Black,1997
Contact,1997
Event Horizon,1997
Spawn,1997
Steel,1997
Kull the Conqueror,1997
RocketMan,1997
Gattaca,1997
Phantoms,1998
A Life Less Ordinary,1997
Starship Troopers,1997
Mortal Kombat: Annihilation,1997
Alien: Resurrection,1997
Alien Escape,1996
Flubber,1997
Time Tracers,1997
Dark City,1998
Star Kid,1997
Deep Rising,1998
Sphere,1998
Lost in Space,1998
Species II,1998
Godzilla,1998
Hav Plenty,1997
The X Files,1998
Armageddon,1998
Small Soldiers,1998
Plan 9 from Outer Space,1959
Repo Man,1984
Halloween III: Season of the Witch,1982
Soylent Green,1973
Metropolis,1927
Back to the Future Part II,1989
Back to the Future Part III,1990
The Absent-Minded Professor,1961
Babes in Toyland,1961
Dune,1984
Disturbing Behavior,1998
The Black Hole,1979
The Cat from Outer Space,1978
Darby O'Gill and the Little People,1959
The Devil and Max Devlin,1981
Flight of the Navigator,1986
Honey I Blew Up the Kid,1992
"Honey, I Shrunk the Kids",1989
Return from Witch Mountain,1978
The Rocketeer,1991
Tron,1982
The Man with Two Brains,1983
Nineteen Eighty-Four,1984
The Dead Zone,1983
Maximum Overdrive,1986
The Nutty Professor,1963
Attack of the Killer Tomatoes!,1978
Surf Nazis Must Die,1987
Cube,1997
Toys,1992
Parasite,1982
The Butcher's Wife,1991
Six-String Samurai,1998
Them!,1954
The Thing,1982
2010,1984
Soldier,1998
The Stepford Wives,1975
Heart Condition,1990
Godzilla,1954
Godzilla 1985,1984
King Kong vs. Godzilla,1962
Lifeforce,1985
Star Trek: Insurrection,1998
Santa Claus: The Movie,1985
Cocoon,1985
Cocoon: The Return,1988
The Faculty,1998
Mighty Joe Young,1949
Virus,1999
The Garbage Pail Kids Movie,1987
Howard the Duck,1986
The Boy Who Could Fly,1986
The Fly,1958
The Fly,1986
The Fly II,1989
Deadly Friend,1986
Fantastic Planet,1973
My Favorite Martian,1999
Alligator,1980
Meteor,1979
Westworld,1973
Logan's Run,1976
Planet of the Apes,1968
Beneath the Planet of the Apes,1970
Battle for the Planet of the Apes,1973
Conquest of the Planet of the Apes,1972
Escape from the Planet of the Apes,1971
The Rage: Carrie 2,1999
Wing Commander,1999
Village of the Damned,1960
Children of the Damned,1964
Baby Geniuses,1999
The Matrix,1999
The Sticky Fingers of Time,1997
eXistenZ,1999
The Mighty Peking Man,1977
Night of the Comet,1984
Chopping Mall,1986
My Science Project,1985
Star Wars: Episode I - The Phantom Menace,1999
Superman,1978
Superman II,1980
Superman III,1983
Superman IV: The Quest for Peace,1987
House of Dracula,1945
House of Frankenstein,1944
Frankenstein,1931
Son of Frankenstein,1939
The Ghost of Frankenstein,1942
Frankenstein Meets the Wolf Man,1943
The Curse of Frankenstein,1957
Tarantula,1955
The Rocky Horror Picture Show,1975
The Flying Saucer,1950
The Thing from Another World,1951
It Came from Outer Space,1953
The War of the Worlds,1953
It Came from Beneath the Sea,1955
Invasion of the Body Snatchers,1956
Earth vs. the Flying Saucers,1956
It Conquered the World,1956
The Mole People,1956
Swamp Thing,1982
The Thirteenth Floor,1999
Austin Powers: The Spy Who Shagged Me,1999
Zone 39,1996
Wild Wild West,1999
Muppets from Space,1999
Lake Placid,1999
Deep Blue Sea,1999
Mystery Men,1999
The Kindred,1987
The Iron Giant,1999
Universal Soldier: The Return,1999
Universal Soldier,1992
With Friends Like These...,1998
The Astronaut's Wife,1999
Nightmares,1983
New Rose Hotel,1998
Monkey Shines,1988
Phantasm,1979
The Mating Habits of the Earthbound Human,1999
Total Recall,1990
Man Facing Southeast,1986
Time Bandits,1981
RoboCop,1987
RoboCop 2,1990
Last Night,1998
Bride of Re-Animator,1989
Re-Animator,1985
The Omega Man,1971
Spaceballs,1987
The Ape,1940
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984
"Goodbye, 20th Century",1998
Bicentennial Man,1999
Galaxy Quest,1999
Supernova,2000
The Boys from Brazil,1978
Poison,1991
Forever Young,1992
Conceiving Ada,1999
Pitch Black,2000
What Planet Are You From?,2000
Bride of the Monster,1955
Mission to Mars,2000
Destination Moon,1950
On the Beach,1959
Date With an Angel,1987
We're Back! A Dinosaur's Story,1993
Baby: Secret of the Lost Legend,1985
Teenage Mutant Ninja Turtles,1990
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991
Teenage Mutant Ninja Turtles III,1993
Solar Crisis,1990
Heart and Souls,1993
Close Encounters of the Third Kind,1977
Retroactive,1997
Devil Girl from Mars,1954
The Hideous Sun Demon,1958
Solaris,1972
Frequency,2000
Predator,1987
The Crow: Salvation,2000
The Flintstones in Viva Rock Vegas,2000
Carnosaur,1993
Carnosaur 2,1995
Carnosaur 3: Primal Species,1996
The Hidden,1987
Time Masters,1982
Battlefield Earth,2000
Lisa and the Devil,1973
Moonraker,1979
Quatermass and the Pit,1967
Quatermass II,1957
Eraserhead,1977
Flatliners,1990
Gandahar,1987
Class of Nuke 'Em High,1986
The Toxic Avenger,1984
The Toxic Avenger Part III: The Last Temptation of Toxie,1989
Night of the Creeps,1986
Predator 2,1990
The Running Man,1987
Starman,1984
The Brother from Another Planet,1984
Alien Nation,1988
Mad Max,1979
Mad Max 2: The Road Warrior,1981
Mad Max Beyond Thunderdome,1985
The Fury,1978
Titan A.E.,2000
Communion,1989
Dreamscape,1984
Project Moon Base,1953
Rocketship X-M,1950
X-Men,2000
Pokémon: The Movie 2000,1999
Freejack,1992
Sinbad and the Eye of the Tiger,1977
Thomas and the Magic Railroad,2000
Nutty Professor II: The Klumps,2000
Hollow Man,2000
The Brain That Wouldn't Die,1962
Phantasm II,1988
Phantasm III: Lord of the Dead,1994
Phantasm IV: Oblivion,1998
The Cell,2000
Godzilla 2000,1999
Supergirl,1984
X: The Unknown,1956
Highlander: Endgame,2000
"Faraway, So Close!",1993
Return of the Fly,1959
Voyage to the Bottom of the Sea,1961
Fantastic Voyage,1966
Creature from the Black Lagoon,1954
The Giant Gila Monster,1959
The Invisible Man,1933
The Killer Shrews,1959
Kronos,1957
Runaway,1984
Digimon: The Movie,2000
The Time Machine,1960
Red Planet,2000
The 6th Day,2000
Unbreakable,2000
Dungeons & Dragons,2000
Amazon Women on the Moon,1987
Cherry 2000,1987
Innerspace,1987
Masters of the Universe,1987
The Monster Squad,1987
Left Behind,2000
Down to Earth,2001
Recess: School's Out,2001
The Fantasticks,1995
"Die, Monster, Die!",1965
Battle Beyond the Stars,1980
DeepStar Six,1989
C.H.U.D.,1984
Just Visiting,2001
Tuvalu,1999
The Lost World,1925
Evolution,2001
Atlantis: The Lost Empire,2001
A.I. Artificial Intelligence,2001
Donovan's Brain,1953
Dr. Goldfoot and the Bikini Machine,1965
The Thing with Two Heads,1972
Village of the Giants,1965
X: The Man with the X-Ray Eyes,1963
The Day the Earth Caught Fire,1961
The 10th Victim,1965
Outland,1981
Final Fantasy: The Spirits Within,2001
More,1998
The Blob,1988
Critters,1986
Critters 2,1988
Critters 3,1991
Dead Heat,1988
"Elvira, Mistress of the Dark",1988
My Stepmother is an Alien,1988
Short Circuit 2,1988
Short Circuit,1986
Tetsuo: The Iron Man,1989
They Live,1988
Watchers,1988
Young Einstein,1988
Bill & Ted's Excellent Adventure,1989
C.H.U.D. II: Bud the Chud,1989
Chances Are,1989
Cyborg,1989
Dream a Little Dream,1989
Earth Girls Are Easy,1988
Leviathan,1989
Millennium,1989
Miracle Mile,1989
Jurassic Park III,2001
Planet of the Apes,2001
The Return of Swamp Thing,1989
Warlock: The Armageddon,1993
Def-Con 4,1985
Thomas in Love,2000
Altered States,1980
Ghosts of Mars,2001
Happy Accidents,2000
The American Astronaut,2001
Megiddo: The Omega Code 2,2001
When Worlds Collide,1951
Max Keeble's Big Move,2001
Spriggan,1998
K-PAX,2001
The One,2001
Timerider: The Adventure of Lyle Swann,1982
The Devil's Backbone,2001
The Incredible Shrinking Woman,1981
The Falls,1980
The Final Countdown,1980
Flash Gordon,1980
The Angry Red Planet,1959
At the Earth's Core,1976
Empire of the Ants,1977
Morons from Outer Space,1985
The People That Time Forgot,1977
The Incredible Shrinking Man,1957
Vanilla Sky,2001
Bill & Ted's Bogus Journey,1991
The Crawling Eye,1958
Sheena,1984
Silent Rage,1982
Spacehunter: Adventures in the Forbidden Zone,1983
Jimmy Neutron: Boy Genius,2001
Kate & Leopold,2001
Little Otik,2001
Truly Madly Deeply,1990
Fire and Ice,1983
Galaxina,1980
Impostor,2001
Brainstorm,1983
Seconds,1966
Hey Happy,2001
Metropolis,2001
Rollerball,2002
The Deadly Mantis,1957
Vampire Hunter D: Bloodlust,2000
FernGully: The Last Rainforest,1992
A Troll in Central Park,1994
The Time Machine,2002
Hangar 18,1980
Hawk the Slayer,1980
Humanoids from the Deep,1980
Death Watch,1980
Super Fuzz,1980
Resident Evil,2002
Split Second,1992
Simon,1980
Clockstoppers,2002
First Men in the Moon,1964
Joe Versus the Volcano,1990
Return of the Killer Tomatoes!,1988
The Watcher in the Woods,1980
Jason X,2001
The Giant Spider Invasion,1975
Star Wars: Episode II - Attack of the Clones,2002
CQ,2001
Silent Running,1972
The Manhattan Project,1986
Minority Report,2002
Men in Black II,2002
20 Million Miles to Earth,1957
Austin Powers in Goldmember,2002
Our Man Flint,1966
Signs,2002
Rollerball,1975
The Adventures of Pluto Nash,2002
S1m0ne,2002
The Care Bears Movie,1985
The Swarm,1978
Time After Time,1979
The Unearthly,1957
The Revenge of Frankenstein,1958
Spaced Invaders,1990
Suburban Commando,1991
The Tuxedo,2002
Mothra vs. Godzilla,1964
Godzilla's Revenge,1969
"Godzilla, King of the Monsters!",1956
The Incredible Mr. Limpet,1964
Tuck Everlasting,2002
Pokémon 4Ever: Celebi - Voice of the Forest,2001
The Pumaman,1980
Without Warning,1980
Galaxy of Terror,1981
Inseminoid,1981
Looker,1981
Time Changer,2002
Mutant Action,1993
Mysterious Island,1961
Legion of the Dead,2001
Scanners,1981
Cabbage Soup,1981
Solaris,2002
Treasure Planet,2002
The Island at the Top of the World,1974
Making Contact,1985
The Noah's Ark Principle,1984
Equilibrium,2002
Android,1982
The Beast Within,1982
Britannia Hospital,1982
The Challenge,1982
The Man Who Saves The World,1982
Star Trek: Nemesis,2002
Intacto,2001
Attack of the Crab Monsters,1957
The Day of the Triffids,1962
Invaders from Mars,1953
Heavy Metal 2000,2000
Endangered Species,1982
Firefox,1982
Human Highway,1982
Jekyll and Hyde ... Together Again,1982
Liquid Sky,1982
Megaforce,1982
Time Walker,1982
"Yor, the Hunter from the Future",1983
Deliver Us from Eva,2003
Daredevil,2003
The Man Who Fell to Earth,1976
The Meteor Man,1993
Mr. North,1988
Teenagers from Outer Space,1959
Dreamcatcher,2003
The Core,2003
Dreams,1990
Cowboy Bebop: The Movie,2001
Beginning of the End,1957
The Andromeda Strain,1971
Brainscan,1994
Fahrenheit 451,1966
X2,2003
The Matrix Reloaded,2003
The Sixth Man,1997
The Spirit of '76,1990
28 Days Later,2002
Hulk,2003
Terminator 3: Rise of the Machines,2003
The League of Extraordinary Gentlemen,2003
Northfork,2003
Spy Kids 3-D: Game Over,2003
Eve of Destruction,1991
The Blood of Heroes,1989
Princess Blade,2001
The Day of the Dolphin,1973
Man's Best Friend,1993
THX 1138,1971
Atragon,1963
The Mysterians,1957
Attack of the Puppet People,1958
"The Beast from 20,000 Fathoms",1953
The Handmaid's Tale,1990
Day of the Dead,1985
Memoirs of an Invisible Man,1992
The Brood,1979
Videodrome,1983
Avalon,2001
Black Moon Rising,1986
The Reluctant Astronaut,1967
Wilder Napalm,1993
Contamination,1980
The Amazing Transparent Man,1960
Kingdom of the Spiders,1977
Good Boy!,2003
Returner,2002
Impulse,1984
Alien from L.A.,1988
The Black Scorpion,1957
Frankenstein and the Monster from Hell,1973
The Matrix Revolutions,2003
The Big Empty,2003
Timeline,2003
Darkman,1990
Death Machine,1994
The Last Battle,1983
WarGames,1983
Hercules in New York,1969
Highlander II: The Quickening,1991
Invasion of the Body Snatchers,1978
Mr. Destiny,1990
A Midsummer Night's Dream,1935
Royal Space Force - The Wings Of Honneamise,1987
Things to Come,1936
Metalstorm: The Destruction of Jared-Syn,1983
The Element of Crime,1984
Paycheck,2003
Real Men,1987
Beyond Re-Animator,2003
Dr. Jekyll and Mr. Hyde,1941
A Boy and His Dog,1975
Marooned,1969
The Beast of Yucca Flats,1961
The Three Stooges in Orbit,1962
The Butterfly Effect,2004
The Lost Skeleton of Cadavra,2001
Allegro non troppo,1976
Robot Stories,2003
Eternal Sunshine of the Spotless Mind,2004
Hellboy,2004
Beyond the Stars,1989
The Food of the Gods,1976
Food of the Gods II,1989
Munchies,1987
Godsend,2004
Enemy Mine,1985
Cat-Women of the Moon,1953
Babylon 5: In the Beginning,1998
Steel Dawn,1987
Explorers,1985
Ghost in the Machine,1993
Babylon 5: A Call to Arms,1999
Babylon 5: The River of Souls,1998
Babylon 5: Thirdspace,1998
Zardoz,1974
Cypher,2002
Frank Herbert's Children of Dune,2003
Frank Herbert's Dune,2000
Tremors 2: Aftershocks,1996
Tremors 3: Back to Perfection,2001
The Last Man on Earth,1964
Frankenstein Must Be Destroyed,1969
From Beyond,1986
Robot Jox,1989
Space Truckers,1996
Not of This Earth,1988
Death Race 2000,1975
Planet of the Vampires,1965
Frankenstein Unbound,1990
City Limits,1984
Wonderful Days,2003
Indestructible Man,1956
The Wasp Woman,1959
Attack of the Giant Leeches,1959
Charly,1968
"Atlantis, the Lost Continent",1961
Jin-Roh: The Wolf Brigade,1999
The Lift,1983
Batteries not Included,1987
The Walking Dead,1936
The Day After Tomorrow,2004
The Chronicles of Riddick,2004
The Stepford Wives,2004
Hello Again,1987
Meet the Applegates,1991
Robot Carnival,1987
This Island Earth,1955
La Jetée,1962
Godzilla vs. Mechagodzilla,1974
Dr. Jekyll and Mr. Hyde,1931
Undead,2003
The Philadelphia Experiment,1984
All of Me,1984
The Last Starfighter,1984
"I, Robot",2004
Fist of the North Star,1995
Flash Gordon Conquers the Universe,1940
Slaughterhouse-Five,1972
Two of a Kind,1983
The President's Analyst,1967
The Creeping Flesh,1973
Biggles,1986
The Three Lives of Thomasina,1963
Thunderbirds,2004
Thunderbirds are GO,1966
Thunderbird 6,1968
Revengers Tragedy,2002
Code 46,2003
AVP: Alien vs. Predator,2004
Yu-Gi-Oh! The Movie,2004
The Spaceman and King Arthur,1979
Anacondas: The Hunt for the Blood Orchid,2004
The Mangler,1995
The Apple,1980
Resident Evil: Apocalypse,2004
Sky Captain and the World of Tomorrow,2004
The Forgotten,2004
Class of Nuke 'Em High 2: Subhumanoid Meltdown,1991
Sssssss,1973
The Alligator People,1959
I Married a Monster from Outer Space,1958
Bug,1975
Primer,2004
The Final Cut,2004
The Dust Factory,2004
It's All About Love,2003
Blade: Trinity,2004
Conquest of Space,1955
D.A.R.Y.L.,1985
The Invisible Man Returns,1940
Dr. Jekyll and Mr. Hyde,1920
The Golem: How He Came Into the World,1920
Island of Lost Souls,1932
The Son of Kong,1933
Heaven Can Wait,1943
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,1953
Rodan,1956
Fiend Without a Face,1958
Invisible Invaders,1959
The Leech Woman,1960
Robinson Crusoe on Mars,1964
Batman,1966
"Gappa, the Triphibian Monster",1967
Colossus: The Forbin Project,1970
Journey to the Far Side of the Sun,1969
Gamera vs. Jiger,1970
Blood of Ghastly Horror,1972
Brother John,1971
Dark Star,1974
Invasion of the Bee Girls,1973
Phase IV,1974
The Living Dead at Manchester Morgue,1974
The Little Prince,1974
The Terminal Man,1974
Futureworld,1976
Demon Seed,1977
Capricorn One,1977
Parts: The Clonus Horror,1979
Quintet,1979
The Hitch Hikers Guide to the Galaxy,1981
Blue Thunder,1983
The Day After,1983
The Raiders of Atlantis,1983
Rock & Rule,1983
Strange Invaders,1983
Twilight Zone: The Movie,1983
The Ewok Adventure,1985
The Ice Pirates,1984
Barbarian Queen,1985
Creator,1985
The Quiet Earth,1985
The Stuff,1985
Dead End Drive-In,1986
Solarbabies,1986
G.I. Joe: The Movie,1987
Hell Comes to Frogtown,1988
Ashik Kerib,1988
Killer Klowns from Outer Space,1988
Moon 44,1990
Almost an Angel,1990
Frankenhooker,1990
Patlabor: The Movie,1989
Dollman,1991
Mannequin Two: On the Move,1991
Captain America,1990
The Bride with White Hair,1993
Cyborg 2,1993
Fortress,1992
Philadelphia Experiment II,1993
Darkman II: The Return of Durant,1995
Macross Plus: Movie Edition,1995
The Langoliers,1995
Earth,1996
Nirvana,1997
Beowulf,1999
Brave New World,1998
Purgatory,1999
Vidocq,2001
The End of Evangelion,1997
2046,2004
Possible Worlds,2000
Mimic 2,2001
Blood: The Last Vampire,2000
Electric Dragon 80.000 V,2001
Stranded,2001
Samouraïs,2002
Cube²: Hypercube,2002
Nothing,2003
Dead or Alive: Final,2002
Immortal,2004
A Sound of Thunder,2005
Resurrection of The Little Match Girl,2002
Alien Hunter,2003
The Animatrix,2003
Alive,2002
Ghost in the Shell 2: Innocence,2004
The Cathedral,2002
The Book of Fate,2003
GhostWatcher,2002
Moon Child,2003
Starship Troopers 2: Hero of the Federation,2004
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003
The Girl from Monday,2005
A Scanner Darkly,2006
Casshern,2004
Kamikaze Girls,2004
Testament,1983
Son of Godzilla,1967
Wizards,1977
Abbott and Costello Go to Mars,1953
Appleseed,2004
Iceman,1984
Shivers,1975
Beastmaster 2: Through the Portal of Time,1991
Dr. Who and the Daleks,1965
Aliens of the Deep,2005
Magic in the Water,1995
Double Dragon,1994
Mac and Me,1988
2009: Lost Memories,2002
Steamboy,2004
The Five People You Meet In Heaven,2004
The ChubbChubbs!,2002
Robots,2005
Godzilla vs. The Sea Monster,1966
Godzilla vs. Mechagodzilla II,1993
DNA,1997
Cube Zero,2004
Save the Green Planet!,2003
Matango: Attack of the Mushroom People,1963
Tammy and the T-Rex,1994
Natural City,2003
Memories,1995
Invasion of Astro-Monster,1965
Sexmission,1984
A Trip to the Moon,1902
Frankenfish,2004
The Hitchhiker's Guide to the Galaxy,2005
Mutant Aliens,2002
Rouge,1987
Star Wars: Episode III - Revenge of the Sith,2005
The Invisible Woman,1940
The Adventures of Sharkboy and Lavagirl,2005
Daybreak,1993
Godzilla vs. Biollante,1989
Godzilla: Final Wars,2004
Retrograde,2004
Man with the Screaming Brain,2005
The I Inside,2004
War of the Worlds,2005
Godzilla vs. Hedorah,1971
Fantastic Four,2005
C.H.O.M.P.S.,1979
No Blade of Grass,1970
Hardware,1990
The Island,2005
Serenity,2005
Man-Thing,2005
The Three Stooges Meet Hercules,1962
One Point O,2004
Kin-dza-dza!,1986
Born in Flames,1983
200 Motels,1971
Æon Flux,2005
Wedlock,1991
The Wraith,1986
Star Wreck: In the Pirkinning,2005
Left Behind III: World at War,2005
Damnation Alley,1977
Night of the Big Heat,1967
Night of the Lepus,1972
Zathura: A Space Adventure,2005
The Evil of Frankenstein,1964
Paheli,2005
Threads,1984
Voices of a Distant Star,2002
District B13,2004
Underworld: Evolution,2006
The Creeping Unknown,1955
Gamera vs. Gyaos,1967
Panic in Year Zero!,1962
Ultraviolet,2006
Ultimate Avengers,2006
Five Children and It,2004
The Illustrated Man,1969
Leprechaun 4: In Space,1996
The Wild Blue Yonder,2005
Evil Aliens,2006
The Dark Hours,2005
Slither,2006
Renaissance,2006
X-Men: The Last Stand,2006
My Super Ex-Girlfriend,2006
Hollow Man II,2006
The Sheriff and the Satellite Kid,1979
Superman Returns,2006
Mimic: Sentinel,2003
Krrish,2006
Prophecy,1979
Subject Two,2006
Executioners,1993
Tideland,2005
The Covenant,2006
Idiocracy,2006
The Fountain,2006
G.O.R.A.,2004
Dr. Cyclops,1940
Children of Men,2006
Death of a President,2006
The Butterfly Effect 2,2006
"The World, the Flesh and the Devil",1959
Mom and Dad Save the World,1992
Déjà Vu,2006
The Place Promised in Our Early Days,2004
Happily N'Ever After,2006
Dead Meat,2004
The Astronaut Farmer,2006
The Strange Case of Dr. Jekyll and Mr. Hyde,1968
First Man Into Space,1959
Next,2007
Babylon 5: The Gathering,1993
First on the Moon,2005
The Lathe of Heaven,1980
Atlantis: Milo's Return,2003
The Host,2006
Dreamland,2006
Sunshine,2007
Origin: Spirits of the Past,2006
The Devil Commands,1941
Tales from Earthsea,2006
Paprika,2006
28 Weeks Later,2007
The Man from Planet X,1951
Godzilla vs. Mothra,1992
Godzilla vs. Destoroyah,1995
Godzilla vs. King Ghidorah,1991
Starcrash,1978
Robot Monster,1953
Silk,2006
Transformers,2007
The Invasion,2007
The Nines,2007
Daft Punk's Electroma,2006
Resident Evil: Extinction,2007
Alien Autopsy,2006
Decoys,2004
Citizen Dog,2004
Space Is the Place,1974
The Man from Earth,2007
Southland Tales,2006
Ever Since the World Ended,2001
Harrison Bergeron,1995
The Mist,2007
I Am Legend,2007
Futurama: Bender's Big Score,2007
Day of the Dead 2: Contagium,2005
Allegro,2005
Aliens vs Predator: Requiem,2007
Battlestar Galactica: Razor,2007
The Mission,1999
Santa Claus Conquers the Martians,1964
Dragon Wars: D-War,2007
Cloverfield,2008
Cat Soup,2001
The Girl Who Leapt Through Time,2006
The Signal,2007
Hellboy II: The Golden Army,2008
World on a Wire,1973
Dark Angel,1990
Crime Zone,1989
Jumper,2008
Doomsday,2008
VeggieTales: The Pirates Who Don't Do Anything,2008
Diary of the Dead,2007
Justice League: The New Frontier,2008
The District,2004
Return of the Living Dead 3,1993
CJ7,2008
Terror of Mechagodzilla,1975
The Aerial,2007
Superhero Movie,2008
Speed Racer,2008
Gabriel,2007
Black Friday,1940
The Invisible Ray,1936
Iron Man,2008
Stargate: The Ark of Truth,2008
The Andromeda Strain,2008
Flesh Gordon,1974
The Lost World,1960
Doctor Who,1996
The Happening,2008
The Incredible Hulk,2008
St. Trinian's,2007
Futurama: The Beast with a Billion Backs,2008
Mauvais Sang,1986
Dante 01,2008
Journey to the Center of the Earth,2008
Meet Dave,2008
Stargate: Continuum,2008
