title,year
Stargate SG-1: Children of the Gods - Final Cut,2009
Dinotopia: Quest for the Ruby Sunstone,2005
20 Years After,2008
Parallels,2015
Dead Rising: Watchtower,2015
Deep Space,1988
Patrick,1978
Sabrina the Teenage Witch,1996
The Rig,2010
The Ugly Swans,2006
Can of Worms,1999
The Invisible Kid,1988
Monster High,1989
Nightmare Weekend,1986
The Revenge of the Teenage Vixens from Outer Space,1985
Ghost Chase,1987
Tomorrowland,2015
Say Nothing,2001
The Reconstruction of William Zero,2015
Toxin,2014
Parts Per Billion,2014
Frankenstein 1970,1958
Mutant Hunt,1987
Watchers II,1990
Spiders,2013
Survivor,2014
Patlabor 2: The Movie,1993
Exaella,2011
Threshold,1981
Nuntius,2014
Jersey Shore Shark Attack,2012
Halo: Nightfall,2014
I'm Not Jesus Mommy,2011
Downstream,2010
The Chain Reaction,1980
The Walking Deceased,2015
Target Earth,1954
The Velveteen Rabbit,2009
Captive Wild Woman,1943
The Spy Who Loved Flowers,1966
B/W,2015
100 Degrees Below Zero,2013
Breeders,1997
LFO,2013
Infini,2015
Dark Space,2013
Mutant World,2014
Erotic Games in the Third Galaxy,1981
Three Inches,2011
Anonymous Rex,2004
Anthrax,2001
Monsters: Dark Continent,2014
Eyeborgs,2009
The Lobster,2015
Scintilla,2014
Alien Origin,2012
Brave Story,2006
2047: Sights of Death,2014
Starship Rising,2014
San Andreas Quake,2015
Voyage to the Planet of Prehistoric Women,1968
Lady Frankenstein,1971
The Martian,2015
I Am Omega,2007
The Alien Factor,1978
Kung Fury,2015
Agente Logan - missione Ypotron,1966
The Last Days of the World,2011
Forbidden World,1982
Mars,2010
Flight World War II,2015
Hibernatus,1969
Satellite in the Sky,1956
The Golden Bat,1966
The Colour Out of Space,2010
Technotise: Edit & I,2009
The Hunger Games: Mockingjay - Part 2,2015
Pixels,2015
Allegiant,2016
The Brain from Planet Arous,1957
The Star Wars Holiday Special,1978
Frankenstein,2004
Zenon: The Zequel,2001
Alien vs. Ninja,2010
Ghost in the Shell: Stand Alone Complex - The Laughing Man,2005
Guardian,2001
Self/less,2015
Suicide Squad,2016
Aurora,2016
Independence Day: Resurgence,2016
Star Trek Beyond,2016
Debug,2014
Trava: Fist Planet,2003
Rewind,2013
Mothman,2010
Absolutely Anything,2015
Firestarter 2: Rekindled,2002
Killer Tomatoes Eat France!,1992
Universal Soldier III: Unfinished Business,1999
Pulse 2: Afterlife,2008
Universal Soldier II: Brothers in Arms,1998
Journey to the Center of the Earth,1999
Killer Tomatoes Strike Back!,1991
The Terminators,2009
Android Cop,2014
Smart House,1999
Mega Man,2010
Street Fighter: Round One - FIGHT!,2009
Sharknado 3: Oh Hell No!,2015
Scooby-Doo! and the Cyber Chase,2001
Ghost in the Shell 2.0,2008
Hellboy Animated: Sword of Storms,2006
Robot Chicken: Star Wars,2007
Teen Titans: Trouble in Tokyo,2006
Gingerdead Man 3: Saturday Night Cleaver,2011
The Prodigies,2011
Jurassic City,2014
Dinosaur Island,2014
Battle For SkyArk,2015
The Scopia Effect,2014
Moebius,1996
A Ticket to Space,2006
Random Quest,2006
Robot Overlords,2015
Invitation to Hell,1984
Killdozer,1974
The Price of Life,1987
The Phantom Planet,1961
The Lovers,2015
95ers: Time Runners,2013
R.O.D - Read or Die,2001
Mosquito,1995
Mutator,1989
The Creature Walks Among Us,1956
Astronaut: The Last Push,2012
Cinderella 2000,1977
Dracula vs. Frankenstein,1971
Brain of Blood,1971
The Seed of Man,1969
Dimensions,2011
Embryo,1976
Mammoth,2006
Enigma,2009
Invader,1997
Spectral,2016
The Last Man on Earth,2011
Dark Mountain,2013
After Death,2012
Memory Lane,2011
Tokyo Tribe,2014
Spiders,2000
Creature,1985
Crawl or Die,2014
The Rift,1990
This Is Not a Movie,2011
Ticks,1993
Empty,2011
The Void,2001
World Gone Wild,1987
Plastic Little: The Adventures of Captain Tita,1994
Trucks,1997
Sons of Liberty,2013
Metamorphosis,1990
Timebomb,1991
Road Wars,2015
LA Apocalypse,2014
The Man Who Wasn't There,1983
The Lazarus Papers,2009
Mutants,2008
The 27th Day,1957
Lavalantula,2015
Sharktopus vs. Whalewolf,2015
The Phoenix Project,2015
Firequake,2014
Chrysalis,2007
Robotrix,1991
Ghost in the Shell Arise - Border 2: Ghost Whispers,2013
Ghost in the Shell Arise - Border 3: Ghost Tears,2014
Ghost in the Shell Arise - Border 4: Ghost Stands Alone,2014
The Bees,1978
Women of the Prehistoric Planet,1966
Extinction,2015
P-51 Dragon Fighter,2014
Mobile Suit Gundam II: Soldiers of Sorrow,1981
Mobile Suit Gundam III: Encounters in Space,1982
Doctor Who: The Waters of Mars,2009
Atom Man vs Superman,1950
Superman,1948
The Invisible Boy,1957
Captain America,1944
Sting of the Black Scorpion,2002
Black Scorpion,1995
Black Scorpion II: Aftershock,1997
"Family Guy Presents: Something, Something, Something, Dark Side",2009
Planet Outlaws,1953
Hellboy Animated: Blood and Iron,2007
"Gwen, the Book of Sand",1985
The Electric Hotel,1908
Harbinger Down,2015
The Bunker of the Last Gunshots,1981
Almost Normal,2005
Bermuda Tentacles,2014
Attack on Titan,2015
Air,2015
009-1: The End of the Beginning,2013
Witchville,2010
964 Pinocchio,1991
Butterfly,2015
Ditto,2000
Victor Frankenstein,2015
Ferat Vampire,1982
Guardians,2017
Green Snake,1993
The Premonition,1976
Cyber Wars,2004
Spoiler,1998
Meatball Machine,2005
Deathline,1997
Cyber City Oedo 808,1990
"Hard Revenge, Milly: Bloody Battle",2009
Terminal Justice,1996
Humanity's End,2009
Equals,2015
Star Trek: Renegades,2015
Extinction: The G.M.O. Chronicles,2011
In the Dust of the Stars,1976
Moscow-Cassiopeia,1973
Turbo Kid,2015
2033,2010
Ga-ga: Glory to the Heroes,1986
Area 51,2015
Prototype,1992
Ejecta,2014
"OMG, I'm a Robot!",2015
KillerSaurus,2015
Hot Wheels Acceleracers: Ignition,2005
Snowglobe,2007
A Little Bit Zombie,2012
Parasite Dolls,2003
Listening,2015
Proteus,1995
The Snow Devils,1967
Battle of the Worlds,1961
Assignment: Outer Space,1960
Alien from the Deep,1989
Attack on Titan II: End of the World,2015
Into the Forest,2016
First Spaceship on Venus,1960
City Beneath the Sea,1971
Hardcore Henry,2015
Scanner Cop,1994
Infinite,2012
Black River,2001
Headspace,2005
The Dark,1979
The Dark Hour,2006
Crumbs,2015
The Quiet Hour,2014
Robot Wars,1993
Robo Warriors,1996
Laserblast,1978
Nightbeast,1982
Minutemen,2008
Jett Jackson: The Movie,2001
The Horror of Frankenstein,1970
Tremors 5: Bloodlines,2015
Narcopolis,2015
Iron Sky: The Coming Race,2018
The Circle,2017
Attack of the 60 Foot Centerfold,1995
Fuga de cerebros 2,2011
Carny,2009
Total Reality,1997
Rage,2010
A Daughter Of Destiny,1928
2103: The Deadly Wake,1997
June,2015
The Hive,2015
Re-Kill,2015
Patch Town,2014
ABE,2013
Abiogenesis,2011
MW,2009
The Midnight After,2014
The Twins Effect II,2004
11 A.M.,2013
Clockstoppers,2002
Circle,2015
Haunters,2010
The Dead Zone,2002
Heaven's Soldiers,2005
Creative Control,2016
Lifepod,1993
Gunhed,1989
Freaks of Nature,2015
The Diabolical,2015
The Tunnel,1933
A Chinese Ghost Story,2011
Imagination,2008
The Sea Serpent,1984
Ghost Shark,2013
Revelation,2001
Bigfoot,1970
Sci-fighters,1996
Exterminators of the Year 3000,1983
The Challenge,2003
Lake Placid 2,2007
Lake Placid 3,2010
Lake Placid: The Final Chapter,2012
Night Slaves,1970
Lovemilla,2015
The Day the Sky Exploded,1958
Idaho Transfer,1973
American Warships,2012
Cruel & Unusual,2014
Rats: Night of Terror,1984
Shocking Dark,1990
The Phoenix Incident,2015
Skinwalker Ranch,2013
A Nymphoid Barbarian in Dinosaur Hell,1990
Mr. India,1987
Princes and Princesses,2000
Containment,2015
The Subjects,2015
The Gendarme and the Creatures from Outer Space,1979
Cosmic Scrat-tastrophe,2015
Without Knowing Anything About Her,1969
400 Days,2015
Metamorphosis : The Alien Factor,1990
The Isle of Lost Ships,1987
Ku! Kin-dza-dza,2013
Anacondas: Trail of Blood,2009
Hammerhead,2005
Area 407,2012
Doctor Who: Last Christmas,2014
Doctor Who: Planet of the Dead,2009
Doctor Who: The Next Doctor,2008
Doctor Who: Voyage of the Damned,2007
Doctor Who: The Runaway Bride,2007
Johnny 2.0,1998
Dark Rising 2:  Summer Strikes Back,2011
Transformers Prime Beast Hunters: Predacons Rising,2013
The Mind Snatchers,1972
Petey Wheatstraw,1977
Hard to Be a God,1989
Miami Golem,1985
The 5th Wave,2016
Escape from the Bronx,1983
"10,000 Days",2014
Awaken,2013
Reaper,2015
Mars Needs Women,1967
Quantum Apocalypse,2010
End of the World,2013
The 12 Disasters of Christmas,2012
Earthfall,2015
Mega Shark vs. Mecha Shark,2014
Christmas Icetastrophe,2014
Seattle Superstorm,2012
Chaos on the Bridge,2015
American Hero,2015
The Incident,2014
Visitors of the Night,1995
Psalm 21,2009
Beneath Loch Ness,2002
Evil Alien Conquerors,2003
Ghost in the Shell: The New Movie,2015
World of Tomorrow,2015
Ice Spiders,2007
Encounters,2015
Doctor Mordrid,1992
OzLand,2015
Another World,2014
The Zohar Secret,2015
Parasyte: Part 1,2014
Parasyte: Part 2,2015
A Cosmic Christmas,1977
Mobile Suit Gundam F91,1991
Mobile Suit Gundam: Char's Counterattack,1988
Legend of the Galactic Heroes: My Conquest Is the Sea of Stars,1988
R.O.T.O.R.,1987
Chrysalis,2014
Childhood's End,2015
3-Headed Shark Attack,2015
The Stone Tape,1972
Barking at the Stars,1998
Senn,2013
Shadows on the Wall,2014
Altergeist,2014
500 MPH Storm,2013
Cowboys vs. Dinosaurs,2015
Garm Wars: The Last Druid,2014
Super Shark,2011
Science Fiction,2002
How to Build a Better Boy,2014
"White Out, Black In",2014
Warlords of Atlantis,1978
Girl vs. Monster,2012
Legend of the Millennium Dragon,2011
Assassination Classroom,2015
Vampirella,1996
Doctor Who: The Husbands of River Song,2015
Aimy in a Cage,2016
Uncanny,2015
Who?,1974
The Two Faces of Dr. Jekyll,1960
Descendents,2008
Mandroid,1993
Prehysteria!,1993
Dream a Little Dream 2,1995
Batman: Bad Blood,2016
Under Electric Clouds,2015
Weasels Rip My Flesh,1979
Mill of the Stone Women,1960
The Flash 2 - Revenge of the Trickster,1991
Terminus,2015
The Perfect 46,2014
Satanik,1968
The War in Space,1977
Hundra,1983
Lazer Team,2016
The Survivalist,2015
Zero,2015
April and the Extraordinary World,2015
Reptilicus,1961
Revenge of the Stepford Wives,1980
Ghost in the Shell: Stand Alone Complex - Solid State Society,2007
Arrowhead,2016
Amazons,1986
Space Cop,2016
Pandemic,2016
10 Cloverfield Lane,2016
The Desert,2013
Sum of Histories,2015
Bunker Palace Hotel,1989
Southbound,2015
Arachnia,2003
Ogre,2008
Dinocroc,2004
The Monster of Piedras Blancas,1959
Komodo vs. Cobra,2005
Vipers,2008
Venomous,2002
Snakeman,2005
Lockjaw: Rise of the Kulev Serpent,2008
Regular Show: The Movie,2015
Project-M,2014
Pig,2011
Transmorphers Fall of Man,2009
Atlantic Rim,2013
AE: Apocalypse Earth,2013
AVH: Alien vs. Hunter,2007
Nightmare Code,2014
Jurassic Prey,2015
The Sand,2015
Vaah! Life Ho Toh Aisi!,2005
Aashiq Banaya Aapne,2005
Days of Eclipse,1988
Twilight Zone,1993
Bipedalism,2005
A Humble Life,1997
Chronopolis,1982
Toy Reanimator,2002
Barren Illusion,1999
Atlantis,2008
The Frankenstein Theory,2013
Alien Abduction: Incident in Lake County,1998
Jaane Hoga Kya,2006
Never Travel on a One Way Ticket,1987
Killed by Lightning,2002
Future War,1997
"My God, My God, Why Hast Thou Forsaken Me?",2005
Leda - The Fantastic Adventure of Yohko,1985
Time Runner,1993
Eega,2012
Roboshark,2015
984: Prisoner of the Future,1982
Conspiracy Encounters,2016
The Fabulous World of Jules Verne,1958
The War of the Worlds: Next Century,1981
100 Million BC,2008
Plan 9,2015
Straight Story,2006
Die Abrafaxe - Unter schwarzer Flagge,2001
Creature,2014
Stonados,2013
Thumb Wars: The Phantom Cuticle,1999
Dreamland,2007
On the Comet,1970
Slow Action,2010
Wool 100%,2006
Blazing a Trail to the Stars,1958
White Wall,2010
The Mermaid,2016
Beyond,2014
They Call Me Jeeg Robot,2015
Night Sights,2011
Noiseman Sound Insect,1997
Hot Bot,2016
Ava's Possessions,2015
Weaponized,2016
Earthling,2011
The Flying Man,2013
Tales from the Crapper,2004
Return to Nuke 'Em High Volume 1,2013
The Encounter,2015
The Giant Behemoth,1959
Bela Lugosi Meets a Brooklyn Gorilla,1952
Hibernation,2005
Remote Control,1988
Smorgasbord,1983
Kryptonita,2015
Prospect,2014
Creature,1998
Path of Destruction,2005
Kamikaze 1989,1982
Sight,2012
Sundays,2015
Snow Shark: Ancient Snow Beast,2011
Project X,1968
Man Vs.,2015
Kara,2012
Exodus: Tales from the Enchanted Kingdom,2005
Jurassic Attack,2012
Poseidon Rex,2014
Sharkman,2001
The Garden of Sinners: Future Gospel,2013
Jackrabbit,2015
Turkey Shoot,1982
No Men Beyond This Point,2015
Mock Up on Mu,2008
Welcome to Blood City,1977
Mobile Suit Gundam 00: A Wakening of the Trailblazer,2010
Slugs,1988
KISS Meets the Phantom of the Park,1978
Embers,2015
Paradox,2016
Indru Netru Naalai,2015
Die Wolke,2006
Tenchi the Movie 2: The Daughter of Darkness,1997
Armitage: Dual Matrix,2002
Gundress,1999
Legend of Crystania: The Motion Picture,1995
Karas: The Prophecy,2005
Zone of the Enders: Idolo,2001
Battle Fairy Yukikaze,2002
Sin: The Movie,2000
Freedom,2006
Legend of Lemnear,1987
M.D. Geist II: Death Force,1996
Agent Aika,1997
M.D. Geist,1986
Galerions Rion,2004
Angel Cop,1989
Outlanders,1986
Saber Marionette R,1995
Synchronicity,2015
Dead Shadows,2012
SORI: Voice from the Heart,2016
Androids Dream,2014
Magnetic Rose,1995
Residue,2015
The Nostalgist,2014
Real Playing Game,2013
7Aum Arivu,2011
Buck Rogers,1939
Buck Rogers in the 25th Century,1979
Hyper Sapien: People from Another Star,1986
The Space Children,1958
CyberTracker,1994
Deathlands,2003
Boy 7,2015
Basilisk: The Serpent King,2006
Kill Command,2016
The Philadelphia Experiment,2012
Second Nature,2003
Emmanuelle 2000: Emmanuelle's Intimate Encounters,2000
Doomsday Machine,1972
There Will Come Soft Rains,1984
Neo Tokyo,1989
Sharkansas Women's Prison Massacre,2015
Beyond the Rising Moon,1988
2020 Texas Gladiators,1983
Zoombies,2016
A Knight in Camelot,1998
Circuitry Man II: Plughead Rewired,1994
Approaching the Unknown,2016
Andron,2015
Prey,1977
Cell,2016
Into Pitch Black,2000
The Neanderthal Man,1953
Intruders,1992
Identicals,2015
The Hive,2008
Invasion of the Saucer-Men,1957
Future Kick,1991
Curse of the Faceless Man,1958
Ragin Cajun Redneck Gators,2013
Miami Magma,2011
Unaware,2013
Almost Human,2013
Mansquito,2005
Wild Palms,1993
Spasms,1983
Thirst,1979
Horror Hospital,1973
Memory Run,1995
The Demolitionist,1995
Quarantine L.A.,2013
The Asylum,2013
Atomic War Bride,1960
Hellevator,2004
The Return,1980
The Portal,2014
51 Degrees North,2015
Webmaster,1998
One Day Like Rain,2007
Dead Sea,2014
Lake Eerie,2016
Reality XL,2012
Sunspring,2016
Helix,2015
Our RoboCop Remake,2014
Cyborg X,2016
Encounters in the Deep,1979
Alien Tornado,2012
Terra Formars,2016
Kingsglaive: Final Fantasy XV,2016
The Call Up,2016
Sharknado 4: The 4th Awakens,2016
Daylight's End,2016
Starship,1984
Viral,2016
The Mind's Eye,2015
Polar Storm,2009
Beta Test,2016
Starchaser: The Legend of Orin,1985
Droid Gunner,1995
UFO... annientare S.H.A.D.O. stop. Uccidete Straker...,1972
UFO - Distruggete base Luna!,1971
Invaders from the Deep,1981
Morgan,2016
Hologram Man,1995
Empire of Corpses,2015
No Budget Story,1997
When Women Had Tails,1970
The Invisible Maniac,1990
Steel Frontier,1995
Broken Blade: Book Six - Enclave of Lamentations,2011
Steins;Gate: The Movie − Load Region of Déjà Vu,2013
Psycho-Pass: The Movie,2015
The Black Hole,2015
Shin Godzilla,2016
Deep Core,2000
Birdemic 2: The Resurrection,2013
Black Road,2015
Mamaboy,2017
Virtual Revolution,2016
School in the Crosshairs,1981
After the Apocalypse,2004
The Erotic Misadventures of the Invisible Man,2003
ARQ,2016
20th Century Boys - Chapter 2: The Last Hope,2009
20th Century Boys - Chapter 3: Our Flag,2009
Mad Doctor of Blood Island,1969
Behind the Planet of the Apes,1998
Desolate,2013
Arrival,2016
Terminal Invasion,2002
Alien Apocalypse,2005
Journey to the Seventh Planet,1962
Zarkorr! The Invader,1996
Loop,2016
Maximum Ride,2016
The Brain Eaters,1958
The Flesh Eaters,1964
The Hexer,2001
I Am a Hero,2015
Raiders of the Sun,1992
Pilot Pirx's Inquest,1979
Teens in the Universe,1975
Failure of Engineer Garin,1973
The Clone Returns Home,2008
Body Melt,1994
Capsule,2015
Set the Thames on Fire,2016
Colossal,2017
Crash and Burn,1990
How to Make a Monster,1958
Phantasm: Ravager,2016
Teenage Cave Man,1958
Wicked Stepmother,1989
The White King,2017
Slave Girls from Beyond Infinity,1987
Roller Blade Warriors: Taken by Force,1989
Max Steel,2016
The Invisible Man's Revenge,1944
The Rocky Horror Picture Show: Let's Do the Time Warp Again,2016
Bang Bang Baby,2014
Cinderella,1899
The Monk and the Demon,2016
Trancers 6: Life After Deth,2002
Mars,1998
RWD,2015
Alien 2: On Earth,1980
Team Thor,2016
Somnus,2016
H.,2014
Starship Apocalypse,2014
Ghosts with Shit Jobs,2012
Flatland,2007
Marvel One-Shot: The Consultant,2011
Japan Sinks,2006
Scrat: Spaced Out,2016
Night Shadows,1984
The Untamed,2016
Crack in the World,1965
Officer Downe,2016
Legend of Dinosaurs and Monster Birds,1977
Fugitive Alien,1987
Alienate,2016
The Space Between Us,2017
Rogue One: A Star Wars Story,2016
L'Inhumaine,1924
"End of Days, Inc.",2015
Hobgoblins,1988
Seedpeople,1992
The Alien Saga,2002
Passengers,2016
Pixels,2010
Twilight of the Dark Master,1998
Automatic,1995
Wonder Women,1973
Pass-Thru,2016
Glen and Randa,1971
Assassin's Creed,2016
The Darkest Dawn,2016
Dexter's Laboratory: Ego Trip,1999
The Aftermath,1982
Monster Trucks,2016
A Cure for Wellness,2017
Galaxy Hunter,2004
Closer to God,2015
DC Showcase: Catwoman,2011
Batman Beyond Darwyn Cooke's Batman 75th Anniversary Short,2014
Deep Evil,2004
Death Race 2050,2017
The Sisterhood,1988
Equalizer 2000,1987
Wheels of Fire,1985
Rupture,2016
Marvel One-Shot: Agent Carter,2013
Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,2011
Ferocious Planet,2011
Don't Grow Up,2015
ISRA 88,2016
Logan,2017
Strange Frequency,2001
Passage to Mars,2016
Science Fiction Volume One: The Osiris Child,2017
MindGamers,2015
Saturn 3,1980
Justice League Dark,2017
The Similars,2015
Resident Evil: The Final Chapter,2016
11 Minutes Ago,2007
iBoy,2017
Ghost in the Shell,2017
Lost in the Pacific,2016
Attraction,2017
The Stranger,1973
Enemy Empire,2013
Third Guest,2016
Bad Kids of Crestview Academy,2017
Tiramisu,2002
Tykho Moon,1996
The Tribe,2016
They Nest,2000
Major Grom,2017
Gantz:O,2016
Shyness Machine Girl,2009
Asteria,2017
Scavengers,2013
The Void,2016
Disaster!,2006
Painkillers,2015
Goblin,2010
Life,2017
Race to Mars,2007
Sleight,2017
Guyver: Dark Hero,1994
2 Lava 2 Lantula!,2016
Power Rangers,2017
Alien: Covenant,2017
Escape from Mars,1999
The Shaman,2015
2001: A Space Travesty,2000
Timecop 2: The Berlin Decision,2003
Epoch: Evolution,2003
Epoch,2001
The Tommyknockers,1993
Darkman III: Die Darkman Die,1996
The Time Shifters,1999
Species: The Awakening,2007
Species III,2004
Ultimate Avengers 2,2006
Thirst,2016
Space Mutiny,1988
Encounter at Raven's Gate,1988
Bokeh,2017
Red Nightmare,1962
Carnage: Swallowing the Past,2017
Vulcania,2015
Amphibian Man,1962
The Discovery,2017
Toward the Terra,1980
Lone Wolves,2016
Julie & Jack,2003
The Coming Days,2010
Teen Titans: The Judas Contract,2017
24,2016
Beware! The Blob,1972
Spark: A Space Tail,2017
We are the tide,2016
Replica,2005
Teleios,2017
Here Alone,2016
The Rift,2016
Resident Evil: Vendetta,2017
Mars of Destruction,2005
Phoenix Forgotten,2017
Circuitry Man,1990
Flatland: The Film,2007
The Dark Tapes,2017
Beyond Skyline,2017
The Time Travelers,1964
Mars and April,2012
Origin,2016
Moontrap: Target Earth,2017
Fire Maidens of Outer Space,1956
Megafault,2009
Shockwave Darkside,2014
Japon İşi,1987
The Fog,2010
Revenge of the Creature,1955
Virtual Nightmare,2000
InAlienable,2008
The Hidden II,1993
You're So Cupid,2010
Taking Earth,2017
Last Woman on Earth,1960
A.P.E.X.,1994
Moontrap,1989
Showdown at Area 51,2007
Okja,2017
Daemonium: Soldier of the Underworld,2015
Embassy,2013
Outpost: Rise of the Spetsnaz,2013
Mirror for a Hero,1987
Parasite Eve,1997
The Stone Raft,2002
Realive,2016
Time Chasers,1994
Oasis,2017
Phoenix,1995
The Shadow Effect,2017
The Answer,2015
"Wax, or the Discovery of Television Among the Bees",1991
The Lost World,2001
Monster a-Go Go,1965
Project: ALF,1996
Not Quite Human,1987
Miracle Beach,1992
Justin Time,2010
The Last Man on Earth,2014
Deal of a Lifetime,1999
Tamala 2010: A Punk Cat in Space,2002
Easy on the Eyes,2014
Alive in Joburg,2005
Survivor,1999
To The Stars By Hard Ways,1980
Hooked on the Game 2. The Next Level,2010
The Interceptor,2009
Hooked on the Game,2009
Nightmare City 2035,2007
Ares,2016
Portal: No Escape,2011
Mechenosets,2006
The Adventures of the Electronic,1979
Drive,1997
Paragraph 78: Film One,2007
Phenomenon II,2003
"Chelovek, kotoryy znal vsyo",2009
The Black Hole,2006
Star Runners,2009
Kunskapens pris - balladen om den vilsne vandraren,2007
A Detective Story,2003
Beyond,2003
World Record,2003
Final Flight of the Osiris,2003
Kid's Story,2003
Program,2003
Robotropolis,2011
Ghost Recon: Alpha,2012
The Infinite Worlds of H.G. Wells,2001
The Day of the Triffids,2009
The Slime People,1963
Robot Holocaust,1986
Blame!,2017
Lost Continent,1951
King Dinosaur,1955
Extraterrestrial Visitors,1983
The Amazing Colossal Man,1957
Star Force: Fugitive Alien II,1987
Manhunt in Space,1956
Crash of Moons,1954
The Eye Creatures,1965
The Human Duplicators,1965
The Wild World of Batwoman,1966
12 to the Moon,1960
Danger!! Death Ray,1967
Night of the Blood Beast,1958
Terror from the Year 5000,1958
I Was a Teenage Werewolf,1957
Riding with Death,1976
Prince of Space,1959
The Projected Man,1966
Gorgo,1961
Soultaker,1990
Track of the Moon Beast,1976
Brides of Blood,1968
Kill Switch,2017
The Bad Batch,2017
War for the Planet of the Apes,2017
How to Talk to Girls at Parties,2017
Hangar 10,2014
Valerian and the City of a Thousand Planets,2017
Lensman,1984
The Gracefield Incident,2017
Legend of the Galactic Heroes: Overture to a New War,1993
The Northlander,2016
"Abraxas, Guardian of the Universe",1990
Interceptors,1999
Nemesis,1992
Recon 2020:  The Caprini Massacre,2004
977,2006
Frost,2012
Extraterrestrial,2007
Gamer,2001
Star Command,1996
Interceptor Force 2,2002
They Are Among Us,2004
Spermula,1976
The Guyver: Bio-Booster Armor,1989
Black Magic M-66,1987
Dr. Alien,1989
2012 Doomsday,2008
The Chronicles of Riddick: Dark Fury,2004
Appleseed: Ex Machina,2007
The Giant King,2012
The Dark Side of The Moon,1990
The Invisible Man,1984
Exit,2000
Tomorrow I'll Wake Up and Scald Myself with Tea,1977
30 Years to Life,1998
Blood Freak,1972
Lucid Dream,2017
Stasis,2017
What Happened to Monday,2017
Duck Dodgers in the 24½th Century,1953
Black Mirror: White Christmas,2014
The '?' Motorist,1906
UFO Abduction,1989
Rakka,2017
The Void,2016
Cream,2017
Orbiter 9,2017
The Easter Bunny Is Comin' to Town,1977
Pokémon 4Ever: Celebi - Voice of the Forest,2001
Mutafukaz,2017
Transformers: The Last Knight,2017
Curtain,2015
I Am So Proud of You,2008
Night Skies,2007
Island of Lost Women,1959
Nukie,1988
Gor,1987
Ghost in the Shell Arise - Border 5: Pyrophoric Cult,2015
5ive Days to Midnight,2004
Firebase,2017
Revolt,2017
The Dark Tower,2017
Nowhere Boys: The Book of Shadows,2016
The Conquest of the Pole,1912
Independents' Day,2016
Dust,2005
Doctor Who: Time Crash,2007
Elegy,2014
Plug,2014
Devil's Gate,2017
On Your Mark,1995
Delivery,2005
Anti Matter,2016
Drone Wars,2016
Zygote,2017
King Size,1988
Possibility of an Island,2008
Megaville,1990
Nude on the Moon,1961
Vampires in Havana,1985
High Plains Invaders,2009
Frankenstein Created Woman,1967
Dead and Deader,2006
The Return of Captain Invincible,1983
The Stranger: Summoned by Shadows,1991
TechnoCalyps,2006
Starquest II,1996
The Man with the Rubber Head,1901
Caged Heat 3000,1995
